epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.164,1.68355,4.14865,1.40983,0.00077,0.1,0.00095,0.00057,1.53975,4.05347,1.64473,2e-05,2e-05,2e-05
2,2.034,1.73199,4.04353,1.47733,0.00077,0.1,0.00119,0.00064,1.54712,4.03006,1.63593,5.9406e-05,5.9406e-05,5.9406e-05
3,2.651,1.60059,4.02154,1.5378,0.00077,0.1,0.00116,0.00063,1.44946,3.97785,1.49128,9.802e-05,9.802e-05,9.802e-05
4,3.293,0.94742,3.50339,1.15024,0.00179,0.23333,0.00312,0.0019,1.44063,3.79703,1.3217,0.000135842,0.000135842,0.000135842
5,3.95,1.16181,3.63785,1.1589,0.00282,0.36667,0.00779,0.00454,1.46985,3.76803,1.2414,0.000172872,0.000172872,0.000172872
6,4.634,1.59198,3.62103,1.16218,0.00282,0.36667,0.01898,0.01135,1.55324,3.72818,1.20014,0.00020911,0.00020911,0.00020911
7,5.253,1.07878,3.05425,1.07558,0.00333,0.43333,0.02899,0.01461,1.52816,3.76047,1.16866,0.000244556,0.000244556,0.000244556
8,5.874,1.18172,3.09766,1.03056,0.00359,0.46667,0.07301,0.04784,1.57013,3.7314,1.11603,0.00027921,0.00027921,0.00027921
9,6.48371,1.27296,2.83813,1.07456,0.00385,0.5,0.16616,0.09775,1.62771,3.70802,1.15235,0.000313072,0.000313072,0.000313072
10,7.08071,1.42673,2.67982,1.07896,0.00385,0.5,0.1782,0.09268,1.72928,3.69114,1.19404,0.000346142,0.000346142,0.000346142
11,7.67971,1.20223,2.41582,1.06348,0.0041,0.53333,0.16007,0.07526,1.78906,3.67935,1.23565,0.00037842,0.00037842,0.00037842
12,8.26841,1.33422,2.22274,1.09367,0.0041,0.53333,0.15296,0.06132,1.70161,3.70796,1.17964,0.000409906,0.000409906,0.000409906
13,8.85806,1.08436,1.89336,1.10019,0.00487,0.63333,0.17232,0.06259,1.61111,3.65903,1.18084,0.0004406,0.0004406,0.0004406
14,9.49406,1.00985,2.10847,0.97933,0.00561,0.4,0.18215,0.06927,1.64044,3.65481,1.24906,0.000470502,0.000470502,0.000470502
15,10.1011,1.22175,1.99586,1.1588,0.21533,0.2,0.18355,0.06861,1.61071,3.67719,1.21976,0.000499612,0.000499612,0.000499612
16,10.7061,1.20028,1.77195,1.07817,0.00487,0.63333,0.17805,0.06758,1.62926,3.65347,1.23049,0.00052793,0.00052793,0.00052793
17,11.3401,1.10316,1.96499,1.07293,0.00513,0.66667,0.19383,0.0789,1.62591,3.63638,1.19562,0.000555456,0.000555456,0.000555456
