epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.217,1.92905,2.47888,1.83622,0.10876,0.24251,0.03915,0.01386,2.81645,inf,3.18048,0.0701775,0.00331361,0.00331361
2,290.122,1.89384,2.09443,1.80305,0.24835,0.28241,0.16621,0.06081,2.20879,4.50257,2.36472,0.0401117,0.00658114,0.00658114
3,425.814,1.81446,1.94149,1.77422,0.40391,0.36497,0.30459,0.12896,2.03867,2.27132,2.05402,0.00997991,0.00978267,0.00978267
4,562.876,1.75787,1.84967,1.71191,0.70549,0.17395,0.24183,0.10522,2.04385,2.4294,2.12762,0.009703,0.009703,0.009703
5,699.895,1.69702,1.70998,1.6336,0.51806,0.39429,0.40318,0.17682,1.83641,1.84383,1.9245,0.009604,0.009604,0.009604
6,836.254,1.65808,1.66317,1.62468,0.52491,0.45885,0.43828,0.19516,1.74652,1.82992,1.82334,0.009505,0.009505,0.009505
7,971.908,1.646,1.63927,1.61604,0.40713,0.41356,0.33998,0.15478,1.7549,2.12948,1.84709,0.009406,0.009406,0.009406
8,1106.62,1.61691,1.62044,1.60194,0.45989,0.48161,0.45245,0.21834,1.64309,1.62046,1.72846,0.009307,0.009307,0.009307
9,1243.65,1.57208,1.51178,1.56626,0.51357,0.47973,0.45917,0.2222,1.62631,1.90319,1.71127,0.009208,0.009208,0.009208
10,1378.7,1.53867,1.47327,1.54225,0.60419,0.53595,0.56707,0.27485,1.63749,1.43499,1.69859,0.009109,0.009109,0.009109
11,1515,1.54552,1.43916,1.53328,0.60436,0.52553,0.55404,0.26042,1.6516,1.62645,1.69514,0.00901,0.00901,0.00901
12,1649.85,1.52721,1.41128,1.53175,0.62003,0.53821,0.56446,0.27323,1.58005,1.38346,1.67323,0.008911,0.008911,0.008911
13,1785.75,1.50395,1.40728,1.50725,0.63609,0.55525,0.58095,0.27684,1.6266,1.55047,1.70601,0.008812,0.008812,0.008812
14,1921.71,1.47779,1.35096,1.50833,0.61763,0.60087,0.58926,0.28139,1.52519,1.33266,1.61964,0.008713,0.008713,0.008713
15,2057.44,1.4664,1.34121,1.48444,0.68296,0.54681,0.60952,0.2987,1.50913,1.2959,1.61462,0.008614,0.008614,0.008614
16,2193.92,1.48647,1.32983,1.49809,0.66168,0.5628,0.60036,0.27613,1.61611,1.43041,1.6651,0.008515,0.008515,0.008515
17,2331.79,1.48317,1.32037,1.47674,0.65331,0.57861,0.60017,0.29299,1.54737,1.43941,1.66079,0.008416,0.008416,0.008416
18,2466.93,1.44022,1.26592,1.46867,0.6756,0.55827,0.61288,0.30752,1.54614,1.31185,1.59342,0.008317,0.008317,0.008317
19,2601.82,1.4695,1.28581,1.46014,0.6534,0.59385,0.61798,0.31365,1.48292,1.23935,1.55682,0.008218,0.008218,0.008218
20,2739.07,1.40188,1.25373,1.44341,0.64227,0.56867,0.59099,0.28836,1.50012,1.24003,1.5968,0.008119,0.008119,0.008119
21,2874.32,1.40877,1.24529,1.44414,0.65692,0.56826,0.59647,0.28961,1.51488,1.26612,1.61401,0.00802,0.00802,0.00802
22,3011.62,1.43445,1.28713,1.43662,0.69001,0.58148,0.63742,0.3239,1.47585,1.21367,1.56136,0.007921,0.007921,0.007921
23,3146.23,1.40215,1.25039,1.43699,0.72274,0.60545,0.66872,0.33548,1.47539,1.18344,1.57526,0.007822,0.007822,0.007822
24,3282.05,1.38791,1.2101,1.40825,0.6856,0.59731,0.64077,0.31523,1.48735,1.20057,1.55766,0.007723,0.007723,0.007723
25,3418.17,1.37764,1.17671,1.42073,0.67677,0.60955,0.64839,0.31543,1.49703,1.1902,1.56101,0.007624,0.007624,0.007624
26,3552.1,1.3849,1.20469,1.42648,0.73078,0.62452,0.69003,0.34023,1.43486,1.10038,1.53657,0.007525,0.007525,0.007525
27,3687.89,1.39232,1.17927,1.4043,0.67598,0.60195,0.65224,0.32775,1.46282,1.14835,1.54297,0.007426,0.007426,0.007426
28,3823.04,1.37332,1.15112,1.3911,0.73173,0.64963,0.71015,0.36677,1.39312,1.09193,1.47503,0.007327,0.007327,0.007327
29,3959.38,1.36833,1.17031,1.40821,0.66599,0.64496,0.63702,0.326,1.4147,1.07964,1.4799,0.007228,0.007228,0.007228
30,4095.77,1.32494,1.12899,1.39515,0.63843,0.60587,0.64523,0.33524,1.41315,1.09979,1.49755,0.007129,0.007129,0.007129
31,4231.23,1.3681,1.15357,1.40055,0.70814,0.64375,0.69009,0.34237,1.42636,1.17222,1.52066,0.00703,0.00703,0.00703
32,4367.45,1.3651,1.13449,1.38725,0.75046,0.62147,0.69549,0.35769,1.39797,1.00899,1.4818,0.006931,0.006931,0.006931
33,4502.4,1.34467,1.14249,1.39338,0.72439,0.6341,0.69767,0.36193,1.37675,1.06414,1.45798,0.006832,0.006832,0.006832
34,4638.72,1.3349,1.1253,1.37109,0.71837,0.59705,0.66237,0.34303,1.42931,1.11136,1.50451,0.006733,0.006733,0.006733
35,4774.72,1.33046,1.12403,1.36895,0.74013,0.65137,0.71655,0.37062,1.40675,1.04987,1.45291,0.006634,0.006634,0.006634
36,4911.22,1.31357,1.08842,1.35299,0.74574,0.66006,0.71607,0.36474,1.36822,1.02088,1.4488,0.006535,0.006535,0.006535
37,5046.56,1.30477,1.08057,1.35334,0.71568,0.65923,0.70102,0.36085,1.38809,1.04619,1.45757,0.006436,0.006436,0.006436
38,5182.59,1.33662,1.07846,1.3546,0.73245,0.66494,0.70151,0.36068,1.37517,1.01064,1.44287,0.006337,0.006337,0.006337
39,5318.45,1.30369,1.08065,1.34172,0.68732,0.67131,0.70022,0.36092,1.38477,1.03492,1.46612,0.006238,0.006238,0.006238
40,5453.53,1.28201,1.07722,1.34447,0.72779,0.66958,0.72421,0.37302,1.36908,0.98844,1.4386,0.006139,0.006139,0.006139
41,5588.36,1.30093,1.06126,1.34799,0.7349,0.67983,0.73376,0.37022,1.36575,0.98809,1.43491,0.00604,0.00604,0.00604
42,5724.68,1.28881,1.04941,1.33364,0.74648,0.65954,0.72617,0.37534,1.34634,1.02046,1.42266,0.005941,0.005941,0.005941
43,5858.9,1.30372,1.056,1.34027,0.72718,0.68551,0.73315,0.373,1.35638,1.0074,1.43415,0.005842,0.005842,0.005842
44,5994.19,1.29077,1.05846,1.33034,0.73636,0.66097,0.72109,0.37502,1.34823,0.97291,1.41329,0.005743,0.005743,0.005743
45,6129.4,1.28671,1.04533,1.34159,0.73712,0.6707,0.73078,0.38825,1.3202,0.9889,1.40005,0.005644,0.005644,0.005644
46,6265.6,1.24972,1.01855,1.32285,0.76449,0.65707,0.7444,0.3873,1.36711,0.94215,1.43809,0.005545,0.005545,0.005545
