epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0912,1.23768,1.85494,1.16891,0.95764,0.89476,0.93994,0.60048,1.22987,0.99738,1.09871,0.00332579,0.00332579,0.00332579
2,97.2305,1.22749,0.99326,1.11827,0.93803,0.90615,0.91938,0.58276,1.20566,0.77346,1.15206,0.0065932,0.0065932,0.0065932
3,142.123,1.26236,0.8742,1.1556,0.90897,0.87348,0.91769,0.57916,1.23595,0.92724,1.18622,0.00979461,0.00979461,0.00979461
4,186.644,1.28123,0.83622,1.17936,0.92691,0.8615,0.90541,0.51454,1.41721,0.81484,1.31561,0.009703,0.009703,0.009703
5,230.637,1.25509,0.75977,1.16973,0.95328,0.86651,0.91838,0.58622,1.23815,0.7433,1.20136,0.009604,0.009604,0.009604
6,274.675,1.22952,0.72371,1.15777,0.9592,0.88888,0.93917,0.62559,1.22337,0.63877,1.18005,0.009505,0.009505,0.009505
7,319.512,1.22027,0.68997,1.15045,0.97047,0.87517,0.93402,0.62292,1.20676,0.64962,1.14095,0.009406,0.009406,0.009406
8,364.11,1.19815,0.67495,1.14049,0.96526,0.89431,0.94058,0.62634,1.21078,0.62245,1.14978,0.009307,0.009307,0.009307
9,408.105,1.19627,0.67039,1.14448,0.96832,0.90569,0.94701,0.62088,1.20208,0.6351,1.17,0.009208,0.009208,0.009208
10,452.315,1.18713,0.65113,1.13523,0.96679,0.91663,0.94733,0.63354,1.16752,0.57625,1.13161,0.009109,0.009109,0.009109
11,496.515,1.18235,0.64116,1.12972,0.96467,0.9081,0.94813,0.64983,1.15781,0.56716,1.11355,0.00901,0.00901,0.00901
12,540.973,1.16874,0.63571,1.12655,0.96948,0.91173,0.94584,0.6362,1.16339,0.57175,1.13029,0.008911,0.008911,0.008911
13,585.418,1.17516,0.61809,1.13432,0.96098,0.92004,0.9566,0.65127,1.14901,0.55139,1.11576,0.008812,0.008812,0.008812
14,629.737,1.15733,0.60678,1.12556,0.9562,0.9151,0.94823,0.65946,1.14062,0.55076,1.1268,0.008713,0.008713,0.008713
15,674.164,1.16384,0.60439,1.12679,0.97406,0.92387,0.95569,0.65529,1.14644,0.5377,1.11384,0.008614,0.008614,0.008614
16,718.615,1.14893,0.58802,1.11632,0.97946,0.90661,0.95366,0.65481,1.14779,0.54014,1.11367,0.008515,0.008515,0.008515
17,762.85,1.14283,0.57911,1.10482,0.97103,0.90843,0.95197,0.65095,1.12976,0.53947,1.10861,0.008416,0.008416,0.008416
18,807.023,1.14403,0.5826,1.10995,0.97512,0.92027,0.95792,0.66444,1.13082,0.51974,1.1048,0.008317,0.008317,0.008317
19,851.186,1.14083,0.57648,1.10274,0.97772,0.91961,0.96054,0.67032,1.12937,0.51615,1.08963,0.008218,0.008218,0.008218
20,895.482,1.12716,0.56461,1.09167,0.98545,0.92548,0.96131,0.66622,1.14053,0.51118,1.09564,0.008119,0.008119,0.008119
21,940.136,1.12826,0.56415,1.09773,0.98446,0.92373,0.96431,0.67282,1.11595,0.50277,1.09006,0.00802,0.00802,0.00802
22,984.43,1.12558,0.556,1.09489,0.97107,0.92711,0.95995,0.67322,1.1164,0.50184,1.08164,0.007921,0.007921,0.007921
23,1028.51,1.12129,0.55768,1.08464,0.97791,0.92786,0.9604,0.6715,1.10813,0.48693,1.07941,0.007822,0.007822,0.007822
24,1072.83,1.11619,0.55203,1.08957,0.97507,0.92642,0.95701,0.66144,1.12507,0.49837,1.08635,0.007723,0.007723,0.007723
25,1117.28,1.11537,0.54871,1.08612,0.97658,0.93083,0.96001,0.67209,1.11932,0.48854,1.08391,0.007624,0.007624,0.007624
26,1161.64,1.11612,0.54493,1.08221,0.98402,0.91845,0.96243,0.67429,1.11171,0.48752,1.08668,0.007525,0.007525,0.007525
27,1205.73,1.10741,0.53742,1.07929,0.96885,0.9385,0.96437,0.67641,1.11886,0.4778,1.08364,0.007426,0.007426,0.007426
28,1250.16,1.1076,0.54237,1.07488,0.97658,0.92437,0.9599,0.67506,1.10581,0.4724,1.07027,0.007327,0.007327,0.007327
29,1294.37,1.09707,0.52961,1.07471,0.98005,0.92528,0.96559,0.68178,1.10007,0.46685,1.0717,0.007228,0.007228,0.007228
30,1338.53,1.10426,0.53488,1.07634,0.97774,0.93576,0.96308,0.67652,1.10679,0.46515,1.07293,0.007129,0.007129,0.007129
31,1382.9,1.08555,0.51739,1.06189,0.97675,0.93763,0.96454,0.68464,1.09134,0.45425,1.06031,0.00703,0.00703,0.00703
32,1427.54,1.0893,0.51664,1.05957,0.98026,0.9276,0.96186,0.68518,1.09964,0.47032,1.06941,0.006931,0.006931,0.006931
33,1471.62,1.09376,0.51816,1.06821,0.97671,0.93628,0.96429,0.68134,1.09005,0.454,1.06729,0.006832,0.006832,0.006832
34,1516.05,1.08433,0.51165,1.06575,0.98018,0.93531,0.9679,0.68243,1.09158,0.45183,1.06647,0.006733,0.006733,0.006733
35,1560.38,1.08715,0.51516,1.06959,0.97484,0.93553,0.96676,0.68875,1.08178,0.44447,1.05902,0.006634,0.006634,0.006634
36,1604.59,1.0857,0.51492,1.06684,0.97679,0.93945,0.96908,0.68725,1.08639,0.43931,1.05681,0.006535,0.006535,0.006535
37,1648.72,1.08469,0.5095,1.06408,0.98697,0.93164,0.967,0.69175,1.07572,0.44302,1.05249,0.006436,0.006436,0.006436
38,1692.86,1.07523,0.50362,1.05772,0.9833,0.93904,0.96917,0.68609,1.0989,0.43646,1.05848,0.006337,0.006337,0.006337
39,1737.2,1.0867,0.50905,1.06669,0.98742,0.92939,0.96781,0.69134,1.0811,0.44625,1.05176,0.006238,0.006238,0.006238
40,1781.71,1.06936,0.5009,1.05521,0.98534,0.93349,0.9669,0.68592,1.08829,0.43817,1.06259,0.006139,0.006139,0.006139
41,1826.32,1.07659,0.49793,1.05738,0.98465,0.93759,0.9718,0.69543,1.07508,0.43804,1.05546,0.00604,0.00604,0.00604
42,1870.64,1.07158,0.49618,1.05366,0.97447,0.93899,0.96723,0.69483,1.0786,0.43163,1.0583,0.005941,0.005941,0.005941
43,1915.19,1.06852,0.50132,1.06124,0.97841,0.93986,0.96583,0.6927,1.07529,0.42719,1.0631,0.005842,0.005842,0.005842
44,1959.65,1.06167,0.49039,1.0611,0.98108,0.93485,0.96806,0.69892,1.07004,0.41401,1.05476,0.005743,0.005743,0.005743
45,2003.95,1.06413,0.48792,1.05606,0.97999,0.93719,0.96748,0.692,1.07962,0.42052,1.05038,0.005644,0.005644,0.005644
46,2048.35,1.05544,0.48137,1.04708,0.98421,0.93696,0.9701,0.70085,1.07182,0.41983,1.05262,0.005545,0.005545,0.005545
47,2092.53,1.05958,0.48265,1.05083,0.98139,0.93705,0.96762,0.69623,1.07045,0.42164,1.04798,0.005446,0.005446,0.005446
48,2136.72,1.05243,0.47752,1.05061,0.98653,0.93402,0.9695,0.69481,1.0726,0.42042,1.04426,0.005347,0.005347,0.005347
49,2181.49,1.04921,0.47349,1.04874,0.98555,0.93198,0.96797,0.69772,1.06814,0.42171,1.04798,0.005248,0.005248,0.005248
50,2225.78,1.04682,0.47921,1.0453,0.97631,0.93894,0.97055,0.69614,1.07065,0.41343,1.05001,0.005149,0.005149,0.005149
51,2270.02,1.0407,0.47433,1.04028,0.98972,0.93257,0.9713,0.69949,1.06174,0.40681,1.04021,0.00505,0.00505,0.00505
52,2314.22,1.04712,0.47415,1.04453,0.98986,0.93364,0.97219,0.69963,1.06566,0.41055,1.0457,0.004951,0.004951,0.004951
53,2358.37,1.04679,0.46813,1.04581,0.98846,0.93682,0.97336,0.70437,1.06653,0.41073,1.04859,0.004852,0.004852,0.004852
54,2402.61,1.04395,0.4691,1.03833,0.98797,0.93512,0.97291,0.70525,1.0662,0.40399,1.04529,0.004753,0.004753,0.004753
55,2446.97,1.03736,0.46142,1.0402,0.98428,0.94077,0.96938,0.70116,1.067,0.40473,1.04603,0.004654,0.004654,0.004654
56,2491.61,1.03304,0.45916,1.03709,0.98517,0.9383,0.97352,0.70525,1.05968,0.3982,1.03926,0.004555,0.004555,0.004555
57,2536.21,1.03378,0.46184,1.03687,0.97862,0.94305,0.97207,0.70452,1.06232,0.39834,1.04602,0.004456,0.004456,0.004456
58,2580.2,1.03216,0.46268,1.03795,0.98386,0.93759,0.96942,0.70405,1.0564,0.3973,1.0426,0.004357,0.004357,0.004357
59,2624.09,1.02873,0.46152,1.03652,0.98744,0.93576,0.97345,0.70341,1.055,0.39478,1.04167,0.004258,0.004258,0.004258
60,2667.84,1.0299,0.45464,1.03474,0.9778,0.94305,0.97238,0.70437,1.05836,0.39424,1.04089,0.004159,0.004159,0.004159
61,2712.1,1.02125,0.45234,1.03394,0.98701,0.93447,0.97277,0.7052,1.06191,0.39539,1.04159,0.00406,0.00406,0.00406
62,2756.07,1.02438,0.45755,1.029,0.98061,0.94449,0.97414,0.70589,1.06362,0.39659,1.03792,0.003961,0.003961,0.003961
63,2800.31,1.01992,0.44772,1.03318,0.98446,0.93895,0.97137,0.70548,1.0612,0.39632,1.04238,0.003862,0.003862,0.003862
64,2844.02,1.02136,0.44933,1.03265,0.97966,0.94357,0.97073,0.7063,1.05796,0.39269,1.0417,0.003763,0.003763,0.003763
65,2887.88,1.01121,0.44514,1.0294,0.98098,0.9426,0.97128,0.7079,1.06258,0.39557,1.04183,0.003664,0.003664,0.003664
66,2931.83,1.00899,0.44064,1.02196,0.98801,0.93865,0.97236,0.7106,1.05692,0.39335,1.03714,0.003565,0.003565,0.003565
67,2975.91,1.0064,0.44089,1.0295,0.97465,0.94578,0.97235,0.7117,1.05216,0.38954,1.03692,0.003466,0.003466,0.003466
68,3020.12,1.00601,0.43721,1.02588,0.9812,0.94214,0.97069,0.70951,1.05292,0.39037,1.03702,0.003367,0.003367,0.003367
69,3064.17,0.9977,0.42979,1.01873,0.98129,0.94487,0.97099,0.70723,1.05231,0.38461,1.03783,0.003268,0.003268,0.003268
70,3108.15,0.99976,0.43448,1.02147,0.98197,0.94265,0.97328,0.71209,1.05347,0.38396,1.03623,0.003169,0.003169,0.003169
