epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5354,1.88756,2.67498,1.31515,0.4369,0.42739,0.36771,0.17944,1.65263,1.98136,1.13487,0.00332553,0.00332553,0.00332553
2,115.126,1.78388,1.89912,1.1891,0.4315,0.3735,0.34008,0.1682,1.75935,1.86704,1.18963,0.00659294,0.00659294,0.00659294
3,169.821,1.87106,1.83371,1.23356,0.42267,0.37974,0.32338,0.14656,1.86188,1.983,1.25605,0.00979435,0.00979435,0.00979435
4,224.264,1.89464,1.79731,1.2514,0.48351,0.39966,0.37272,0.18303,1.77877,1.91151,1.22747,0.009703,0.009703,0.009703
5,277.811,1.82661,1.71149,1.23337,0.47563,0.42249,0.39445,0.19289,1.72797,1.7727,1.21179,0.009604,0.009604,0.009604
6,331.726,1.80053,1.64779,1.22468,0.51833,0.43971,0.43541,0.22555,1.67521,1.63623,1.16819,0.009505,0.009505,0.009505
7,384.883,1.78618,1.61638,1.204,0.53972,0.43024,0.43526,0.22744,1.66771,1.56342,1.15929,0.009406,0.009406,0.009406
8,438.707,1.7378,1.57547,1.18914,0.54683,0.45604,0.46271,0.24271,1.64704,1.53465,1.15792,0.009307,0.009307,0.009307
9,492.537,1.71529,1.5294,1.18459,0.5744,0.47001,0.49017,0.26458,1.60477,1.46969,1.1678,0.009208,0.009208,0.009208
10,546.291,1.70333,1.52034,1.17753,0.56696,0.47255,0.48316,0.26626,1.56484,1.48188,1.12633,0.009109,0.009109,0.009109
11,599.879,1.68495,1.4898,1.16227,0.57095,0.4898,0.50648,0.27914,1.54202,1.41616,1.1284,0.00901,0.00901,0.00901
12,653.522,1.65796,1.47013,1.15755,0.57231,0.48064,0.50146,0.26514,1.60206,1.48302,1.14418,0.008911,0.008911,0.008911
13,707.414,1.67208,1.45848,1.15505,0.58124,0.49854,0.52076,0.29331,1.52224,1.38391,1.11961,0.008812,0.008812,0.008812
